City,Cloudiness,Country,Date,Humidity,Lat.,Long.,Max Temp,Wind Speed
mataura,98.0,NZ,1635111088.0,74.0,-46.1927,168.8643,59.34,3.2
huarmey,5.0,PE,1635111089.0,74.0,-10.0681,-78.1522,67.57,10.38
mount gambier,90.0,AU,1635111041.0,71.0,-37.8333,140.7667,49.91,5.75
kapaa,75.0,US,1635111089.0,74.0,22.0752,-159.319,82.72,5.01
albany,99.0,US,1635110807.0,66.0,42.6001,-73.9662,55.67,3.49
hobart,90.0,AU,1635110517.0,73.0,-42.8794,147.3294,50.02,4.0
ushuaia,75.0,AR,1635111090.0,64.0,-54.8,-68.3,35.26,26.46
kuusankoski,90.0,FI,1635111091.0,99.0,60.907,26.6244,36.41,3.0
port-gentil,75.0,GA,1635111091.0,83.0,-0.7193,8.7815,80.56,8.05
richards bay,55.0,ZA,1635110791.0,76.0,-28.783,32.0377,61.11,3.31
vaini,20.0,TO,1635110858.0,73.0,-21.2,-175.2,78.96,12.66
mamallapuram,100.0,IN,1635111092.0,79.0,12.6264,80.1722,78.85,6.69
katsuura,84.0,JP,1635110737.0,58.0,35.1333,140.3,55.51,7.23
thompson,90.0,CA,1635110725.0,80.0,55.7435,-97.8558,32.16,2.3
hermanus,0.0,ZA,1635110792.0,71.0,-34.4187,19.2345,57.9,8.9
hilo,64.0,US,1635110812.0,87.0,19.7297,-155.09,82.27,1.99
dikson,100.0,RU,1635110833.0,87.0,73.5069,80.5464,8.91,18.66
berlevag,40.0,NO,1635111094.0,86.0,70.8578,29.0864,26.55,10.36
orlik,87.0,RU,1635111094.0,87.0,52.5178,99.825,26.76,3.29
cabra,2.0,ES,1635111095.0,63.0,37.4725,-4.4421,64.4,4.0
jamestown,90.0,US,1635110549.0,97.0,42.097,-79.2353,51.12,1.01
touros,35.0,BR,1635110793.0,74.0,-5.1989,-35.4608,81.5,13.96
tuy hoa,100.0,VN,1635111054.0,91.0,13.0833,109.3,76.84,14.88
hithadhoo,59.0,MV,1635110786.0,75.0,-0.6,73.0833,82.09,15.19
saint george,1.0,US,1635110826.0,32.0,37.1041,-113.5841,75.67,1.01
henties bay,0.0,NA,1635111096.0,90.0,-22.116,14.2845,59.86,3.94
shubarshi,98.0,KZ,1635111097.0,40.0,48.5872,57.1869,48.15,7.87
bluff,94.0,NZ,1635110782.0,91.0,-46.6,168.3333,53.69,5.03
viedma,26.0,AR,1635111024.0,20.0,-40.8135,-62.9967,78.76,25.52
tasiilaq,100.0,GL,1635110602.0,92.0,65.6145,-37.6368,30.36,33.58
rikitea,28.0,PF,1635110795.0,74.0,-23.1203,-134.9692,74.79,16.96
rocha,1.0,UY,1635110909.0,61.0,-34.4833,-54.3333,63.1,8.19
busselton,100.0,AU,1635110772.0,80.0,-33.65,115.3333,56.05,11.52
cape town,0.0,ZA,1635110717.0,67.0,-33.9258,18.4232,60.28,4.0
bandar,99.0,ID,1635111098.0,96.0,2.05,99.75,71.85,2.15
palembang,87.0,ID,1635111099.0,94.0,-2.9167,104.7458,75.65,2.26
punta arenas,75.0,CL,1635110768.0,36.0,-53.15,-70.9167,46.51,33.38
geraldton,75.0,AU,1635110815.0,88.0,-28.7667,114.6,64.13,0.0
yellowknife,75.0,CA,1635111025.0,84.0,62.456,-114.3525,42.42,19.57
port elizabeth,40.0,ZA,1635111100.0,87.0,-33.918,25.5701,54.1,2.3
navrongo,54.0,GH,1635111100.0,59.0,10.8956,-1.0921,81.34,2.3
kaitangata,100.0,NZ,1635110784.0,78.0,-46.2817,169.8464,56.03,1.45
sitka,40.0,US,1635110827.0,62.0,57.0531,-135.33,49.89,0.0
qaanaaq,0.0,GL,1635110770.0,60.0,77.484,-69.3632,-4.49,12.28
barrow,90.0,US,1635111101.0,86.0,71.2906,-156.7887,26.62,4.61
lata,0.0,PT,1635110819.0,75.0,40.1629,-8.3327,59.81,1.12
upernavik,92.0,GL,1635110792.0,67.0,72.7868,-56.1549,16.27,8.55
carnarvon,40.0,AU,1635110653.0,73.0,-24.8667,113.6333,68.07,13.8
kharovsk,11.0,RU,1635111103.0,95.0,59.9642,40.1912,26.26,5.35
new norfolk,99.0,AU,1635110824.0,62.0,-42.7826,147.0587,50.67,3.0
arraial do cabo,75.0,BR,1635110729.0,83.0,-22.9661,-42.0278,75.06,5.75
goderich,95.0,CA,1635110925.0,66.0,43.7501,-81.7165,52.92,2.3
dhidhdhoo,77.0,MV,1635111104.0,78.0,6.8833,73.1,81.79,11.36
seminole,1.0,US,1635111104.0,87.0,28.7086,-81.2081,81.27,6.91
kontagora,40.0,NG,1635110911.0,78.0,10.3999,5.4695,75.36,2.64
mar del plata,0.0,AR,1635110763.0,30.0,-38.0023,-57.5575,68.02,17.27
chuy,0.0,UY,1635110629.0,57.0,-33.6971,-53.4616,65.64,8.99
urucara,94.0,BR,1635111105.0,78.0,-2.5364,-57.76,81.23,2.71
bonthe,100.0,SL,1635111106.0,86.0,7.5264,-12.505,78.22,5.3
saint-philippe,45.0,RE,1635110777.0,84.0,-21.3585,55.7679,74.48,16.69
cidreira,0.0,BR,1635110821.0,58.0,-30.1811,-50.2056,65.75,8.86
bambous virieux,40.0,MU,1635110833.0,78.0,-20.3428,57.7575,74.21,11.5
carnduff,100.0,CA,1635111107.0,97.0,49.1667,-101.8009,38.37,11.79
kristiinankaupunki,100.0,FI,1635111056.0,94.0,62.2743,21.376,46.35,16.02
georgetown,20.0,MY,1635111108.0,94.0,5.4112,100.3354,77.9,3.0
leshukonskoye,34.0,RU,1635111020.0,90.0,64.8989,45.7622,24.82,8.95
lethem,57.0,GY,1635111109.0,66.0,3.3803,-59.7968,84.4,5.66
acapulco,90.0,MX,1635111048.0,94.0,16.8634,-99.8901,75.02,12.66
bowen,12.0,AU,1635111109.0,64.0,-20.0167,148.2333,71.82,4.25
